80, 45, 68, 99, 9, 12, 95, 60, 50, 90,
3, 20, 77, 41, 26, 33, 5, 18, 99, 10,
72, 86, 62, 61, 8, 67, 79, 32, 88, 84,
30, 39, 54, 16, 7, 33, 1, 66, 73, 12,
53, 11, 44, 19, 8, 70, 60, 99, 45, 24,
80, 92, 36, 5, 18, 90, 63, 99, 14, 77,
82, 10, 28, 89, 56, 1, 2, 62, 85, 77,
50, 39, 58, 35, 44, 21, 96, 70, 73, 40,
90, 4, 75, 32, 64, 61, 3, 87, 54, 18,
8, 9, 36, 66, 2, 14, 50, 49, 37, 93,
12, 22, 83, 55, 60, 1, 72, 88, 9, 48,
99, 42, 30, 24, 70, 19, 45, 14, 8, 87,
6, 1, 60, 57, 18, 93, 61, 79, 83, 11,
5, 72, 78, 39, 94, 24, 20, 38, 86, 16,
75, 8, 64, 35, 91, 12, 3, 46, 66, 81,
50, 14, 9, 100, 69, 95, 54, 66, 44, 61,
26, 2, 15, 7, 46, 49, 90, 39, 39, 84,
17, 22, 32, 62, 1, 58, 20, 10, 36, 48,
76, 28, 74, 39, 68, 4, 92, 3, 63, 91,
45, 12, 11, 17, 88, 14, 50, 45, 72, 96,
89, 53, 22, 8, 38, 13, 82, 67, 50, 7,
99, 16, 35, 80, 19, 61, 5, 10, 94, 73,
33, 26, 57, 40, 6, 88, 42, 64, 30, 76,
21, 20, 78, 1, 55, 92, 36, 25, 56, 85,
99, 39, 14, 68, 2, 18, 64, 8, 45, 71,
70, 61, 12, 88, 86, 9, 19, 54, 29, 3,
32, 51, 72, 58, 1, 100, 28, 49, 42, 77,
94, 6, 67, 39, 59, 55, 88, 14, 90, 98,
33, 29, 2, 8, 3, 27, 15, 36, 66, 74,
12, 43, 80, 32, 18, 45, 75, 57, 64, 1,
47, 99, 83, 7, 22, 21, 10, 26, 30, 4,
55, 9, 65, 66, 42, 40, 23, 95, 34, 54,
85, 17, 72, 20, 82, 16, 8, 46, 75, 99,
39, 90, 2, 1, 70, 58, 14, 36, 33, 59,
14, 48, 78, 24, 36, 88, 41, 55, 3, 91,
82, 6, 57, 12, 15, 67, 40, 77, 65, 13,
99, 63, 54, 80, 27, 1, 9, 20, 32, 86,
91, 39, 45, 68, 73, 4, 25, 14, 12, 88,
99, 70, 8, 82, 36, 66, 23, 5, 47, 15,
79, 100, 1, 24, 60, 92, 76, 48, 19, 97,
3, 18, 66, 73, 99, 39, 85, 66, 14, 12,
2, 10, 54, 46, 17, 36, 91, 44, 99, 7,
31, 48, 40, 5, 11, 61, 78, 64, 91, 22,
88, 9, 12, 19, 84, 70, 99, 73, 37, 50,
44, 15, 4, 58, 20, 1, 94, 11, 30, 66,
53, 63, 74, 39, 90, 42, 56, 8, 3, 16,
87, 38, 55, 32, 12, 6, 10, 77, 69, 88,
2, 3, 4, 4, 7, 1, 9, 34, 47, 10978,
